Point,lat,lon,planeType,Common_ter,Dip,Dip_Azimuth
300,38.8765155,-110.2671981,trough,Paleocurrent,12.96,129.7
301,38.8765001,-110.2671448,trough,Paleocurrent,-,120
302,38.8767862,-110.2677993,trough,Paleocurrent,13.95,101.82
303,38.8768034,-110.2677389,trough,Paleocurrent,7.93,104.11
304,38.8767809,-110.2676648,trough,Paleocurrent,11.68,55
305,38.8767272,-110.2676564,trough,Paleocurrent,24.2,130.41
306,38.8769266,-110.2680601,AS,AccretionSurface,5.58,26.38
307,38.8769391,-110.2680025,AS,AccretionSurface,20.74,24.42
308,38.8770427,-110.2680025,AS,AccretionSurface,15.58,11.66
309,38.8770328,-110.2679139,trough,Paleocurrent,12.13,127.51
310,38.8770328,-110.2679139,trough,Paleocurrent,5.9,112.7
311,38.8757854,-110.2707239,trough,Paleocurrent,17.84,12.51
312,38.8758222,-110.270741,trough,Paleocurrent,14.88,355.57
313,38.8758616,-110.2707182,trough,Paleocurrent,28.05,345.35
314,38.8762135,-110.2707849,trough,Paleocurrent,28.05,3.34
315,38.8763393,-110.2708429,trough,Paleocurrent,29.19,340.31
316,38.8766974,-110.2712513,parting lineation,Paleocurrent,-,342
317,38.8766742,-110.271839,trough,Paleocurrent,23.26,336.42
318,38.8768292,-110.2718628,trough,Paleocurrent,30.92,337.1
319,38.8759783,-110.2715228,trough,Paleocurrent,24.28,20.92
320,38.8758632,-110.2715473,trough,Paleocurrent,24.2,321.81
321,38.8758243,-110.2715292,trough,Paleocurrent,26.16,344.89
322,38.8751107,-110.2715624,trough,Paleocurrent,26.35,333.97
323,38.8752681,-110.2717029,trough,Paleocurrent,38.13,23.85
324,38.8754007,-110.2715151,parting lineation,Paleocurrent,-,344
325,38.8754871,-110.2714055,trough,Paleocurrent,23.05,326.67
326,38.8753976,-110.2713854,trough,Paleocurrent,28.82,346.99
327,38.8753232,-110.2713703,AS,AccretionSurface,9.62,70.8
328,38.8752838,-110.2713237,AS,AccretionSurface,5.6,77.53
329,38.875194,-110.2711584,trough,Paleocurrent,21.42,4.19
330,38.875194,-110.2711584,trough,Paleocurrent,20.36,357.71
331,38.875261,-110.271138,AS,AccretionSurface,14.78,61.88
332,38.8750204,-110.2711711,trough,Paleocurrent,22.03,319.11
333,38.8750204,-110.2711711,trough,Paleocurrent,26.79,307.66
334,38.8749423,-110.2711537,trough,Paleocurrent,24.65,289.79
335,38.8748776,-110.2710974,trough,Paleocurrent,17.06,24.45
336,38.8745761,-110.2708218,trough,Paleocurrent,19.65,0.56
